Korean,Spanish
들어갈래,Quiero ir
하이파이브,Cinco altos
인간에,Humanamente
활동이,Actividad
구석구석,Esquina
차들은,Coches
이상하죠,Es extraño
결함이,Impecable
박살낼,Imponente
시간이죠,Es la hora
받겠죠,Lo recibiré
오스본의,Osborniano
전화기는,Teléfono
버즈,Zumbido
사람인가,Es la persona
프랑스로,A Francia
시작될,Comenzando
팔려고,Vender
말하는거,Discurso
몫이,Cuota
모였습니다,Reunido
crow,cuervo
두목이,Jefe
그로부터,De eso
달콤하고,Dulce
밀키는,Ordeño
이곳엔,En este lugar
들라,Escuchar
주사기를,Jeringuilla
도망쳐야,Huir
짜식이,Zea
신분이,Identidad
미남,belleza
보일이,Boyle
의미한다,significa
시작으로,Comenzando
일기를,Diario
이식은,Trasplante
그인,Esa persona
이름이나,Nombre o
방식이지,Está lejos
그것만으로도,Solo por eso
말라고요,No haga
방사능을,Radioactividad
우측으로,Derecha
했어도,Incluso
nelson,Nelson
배웠지,he aprendido
케네디,Kennedy
들러리가,Las damas de honor
그걸론,Que
맞았잖아,Usted tenía razón
왔습니까,Estás aquí
않을거다,No será
있어줄래,Serás
노력한,Trabajo duro
이동해,Muevete
깨서,Despertarse
식당을,Restaurante
사실이니까,Porque es verdad
웨스트에,Oeste
들어보면,Si lo miras
알아내기,Hallazgo
한눈에,De un vistazo
오셨을,Debes haber venido
넘어선,Más allá de
가봐도,Incluso
명령하는,Dominante
꿀을,Cariño
긍께,A
roof,techo
느껴봐,Sentir
확인이,Confirmación
어떤놈이,Alguien
whores,putas
모르거든,No sé
지저분하게,Más gordo
놈들아,Tipo
재밌는데,Es divertido
흘렸습니다,yo me embarre
관계로,En relación
있다더군,Había
인사로,Saludo
콴토니움을,Cuantonio
avenge,Vengar
살아있음을,Vivir
통신도,Comunicación
인민군이,Ejército del Pueblo
중이래요,Es como
웨이터,mozo
돕기로,Ayudar
준대요,te doy
얘기라,Hablar
제대한,Descargado
내꺼,mía
살리지,Ahorrar
갔다올게,Iré y vendré
가드라고,Jardín
전부입니다,Es todo
어쩔려구,Que hay de eso
error,Error
내버려두고,Déjalo
약물이,Droga
어머니랑,Con madre
까다로운,Difícil
코트니가,Courtney
브룩,Arroyo
무서워하고,Tengo miedo
물속에,En el agua
굴려봐,Rodillo
실수라도,Incluso en error
다름이,Diferente
이동무,Lee Dong -Moo
편찮으세요,Por favor esté enfermo
홈,hogar
만났다고,yo conoci
봉합사,Sutura
고와,Alto
식민지,colonia
안할래요,No quiero hacerlo
끝났네요,Se acabó
기다리렴,Esperando
팁을,Consejo
쓴거야,yo lo escribi
사건도,Caso
사방에서,En todas partes
거쳐,Mediante
셀리나,Celina
나위,Derecha
불공,Tributo
같겠지,Debe ser lo mismo
만들었군,lo hice
우산을,Sombrilla
접시를,Lámina
쏘려고,Para disparar
강철로,Acero
인간인,Hombre
도나,Donna
죽였소,Delicado
알아들을,Comprender
좋아하니까요,Porque me gusta
가까이서,dentro de poco
흘리지,Derramamiento
한가지는,Una cosa
평소엔,Normalmente
어서가,Vamos
march,marcha
가질래,quiero tener
gg를,Gg
시작되기,Comenzando
님께서,Tú
watched,Observó
closest,Más cercano
위생,higiene
대로만,Solamente
수작이야,Es una obra de arte
뒤면,Hacia atrás
만화,manga
먹었네,Me lo comí
기자들이,Reporteros
가르쳐주세요,Por favor enséñame
독일에서,En alemán
핵심이,El núcleo
소외,Aislamiento
통해요,Mediante
나오는게,Que sale
들어줘요,Escuchar
비추는,Brillante
데릭에,Derek
매니저,Gerente
달려갈,Apresurado
물어보는데,Pregunto
경찰국,Estación de policía
말할지,Decir
그러잖아요,Eso es todo
쟈가,Jaga
조절,control
썩고,Podrido
cto,CTO
랜드리스양,Sin tierras
terry,Terry
레버를,Palanca
됐겠지,Debe ser
괜찮다구,está bien
쳐다본,Mirando a
미래입니다,Este es el futuro
장님,ciego
예민한,Sensible
상병님,Corporal
요청했어요,Solicité
눈이야,Está nevando
쿡,cocinero
생각이네요,pienso
관찰을,Observación
망신,descrédito
태어나자마자,Tan pronto como nací
쪽이에요,Está al lado
받다니,Recepción
안식을,Sábado
절차는,El procedimiento es
운전해서,Condujo
두개가,Dos
수고했소,Bien hecho
물리칠,Vencer
세리자와,Serizawa
위안을,Comodidad
burnt,Quemado
것이었습니다,Era
대피,evacuación
꼬마를,Poco
말끔히,Pulcramente
죽여야만,Solo para matar
덕분이죠,Gracias
진정제,sedante
복수할,Venganza
떠나기로,Dejar
질린,Cansado
ㅗ,vete a la mierda
저장,ahorrar
complete,Completo
조종,control
실수들을,Errores
섞인,Mezclado
포남루,Ponam
말래,Masculino
겔러,Geler
내부의,Interno
리나와,Lina y
라몬트,Ramón
기타미드겔러리,Otro midgeller
반갑지,Encantada de conocerte
군용,Servicio militar
지혜를,Sabiduría
중앙에,En el centro
와이,por qué
코스모,Cosmo
soft,suave
멀쩡하고,Multa
손가락은,El dedo es
안절부절,Inquietud
라다,Lata
네코반,Nekoban
그런짓을,Que
내리네,Bajate
폭풍의,Tormentoso
식도에,En el esófago
시키신,Sinceridad
저년,Ese año
누워있는,Mintiendo
멀쩡한데,Está bien
생활의,Vida
덴트,Mella
되찾고,Recuperar
결정하기,Decisión
도덕적으로,Moralmente
침묵,silencio
초대칭,Invitación
발생했어요,Sucedió
죽치고,Muerte
아프가니스탄에서,En Afganistán
있으라구,Estar allí
닿지,Tocar
종자,presion
날이면,Día
엉덩이는,Cadera
오늘밤엔,Esta noche
되셨습니까,Has estado
라지,largo
예루살렘은,Jerusalén
캐쉬,Dinero
곧잘,Bien
세실리아가,Cecilia
홈즈의,Holmine
나야말로,Yo
그만두면,Si renuncias
인원을,Número
우리엄마를,Mi madre
귀환,devolver
walked,Caminado
줘야만,Tengo que darlo
작업할,Trabajar
떠나라고,Abandonar
아버님도,Padre también
기술이지,Tecnología
침착히,Tranquilamente
몇주동안,Varias semanas
영양소가,Nutrientes
양파,cebolla
물러서라,Regresa
해봐야겠어,Tengo que intentarlo
엘사가,Elsaga
전화해봐,Llamar
경로에,En el camino
상기시켜,Importa
가까워지고,Cerca
하기전에,antes de hacer
성당,Catedral
흉터는,Cicatriz
rightful,LEGÍTIMO
무시하세요,Pasar por alto
초대했어,Yo invité
순간엔,En el momento
했던거,Lo que hice
죄와,Pecado
신께선,Dios
전해드립니다,Lo entregaremos
understanding,inestable
있잖냐,Usted está
교수님은,Profesor
파자마,pijama
거로군,Gao -un
나리의,Naruino
ehome,ehome
넘지,Agobiante
남산리,Namsan -ri
맹세한다,Voto
원하지만,yo quiero pero
모셨습니다,Colgando
있는거고,Esta ahí
둘러싼,circunvío
가벼워,Encendedor
두는게,Poniéndolo
일을했다,Yo trabajé
예기치,Anticipación
낳았어요,Di a luz
일찌감치,Temprano
병신은,El idiota
빼면요,Si lo eliminas
기억하죠,yo recuerdo
막판에,En el último minuto
이해한,comprendido
하노,Hano
열리지,Abierto
생각했었다,Pensé
왕좌의,Trono
crash,choque
무섭냐,Da miedo
hahn,Han
작아요,pequeña
깨지면,Cuando se rompe
비타민이,Vitamina
난실,Verdad
아카츠키,Akatsuki
안쪽으로,Interiormente
사막에서,En el desierto
needle,aguja
marko,Marko
좋아보이네,Se ve bien
델고,Delgo
치워야,Tengo que eliminarlo
저녀석은,Ese tipo
버티는,nutritivo
수학을,Matemáticas
항암,Anticancerígeno
그리지,Dibujar
선생님하고,Maestro
어쨋거나,De todos modos
받았지만,Yo lo recibí
형님한테,A mi hermano
bernie,bernie
빠져나오고,Afuera
외곽,suburbio
움직임은,El movimiento es
저여자,Esa mujer
펄리,Perla
남자친구랑,Con novio
영국은,británico
벌면,Superficie
말게나,Malgenna
주엔,Caballero
오래동안,Por mucho tiempo
메리는,Alegre
끝났죠,Se acabó
만남,reunión
쿨하게,Enfriar
띄게,Indiscutamente
사이였어요,Estaba entre
발견하기,Descubrimiento
돌아다니면서,Deambulando
겉으로는,Externamente
녀석과,Con el chico
참는,Perdurado
찬스,oportunidad
할리우드,Hollywood
찾아봐요,Búscalo
노만,normando
바이킹,Vikingo
김혜경,Kim Hye -kyung
억,100 millones
대행,Agencias
올지,Venir
명예는,Honor
저지르는,Comprometido
되겠지요,Será
신시아,Cynthia
추,peso
꾸물대지,Escorpión
잊기,olvido
천벌을,Castigo celestial
singer,cantante
그렇다네,Sí
찼고,Golpeado
겠군,Espero
피해가,Daño
파악,sujetar
waste,DESPERDICIO
석유,aceite
어쨌어,De todos modos
언제는,Cuando
맡겨야,Dejalo
껍질,piel
승리입니다,Esta es la victoria
점순이,Puntuaciones
임박,Inminente
스티븐스의,Stevens
경성,Dureza
그러기로,Asi que
웬일이니,Por alguna razón
자격은,Calificado
crime,delito
터졌어,Roto
요트를,Yate
신입이,Recién llegado
참치,atún
말라깽이,Exprimidor
반장,Monitor de clase
보겠지,Te veré
기다리겠습니다,esperaré
고맙긴요,Gracias
아침으로,En la mañana
통틀어,venta al por mayor
사막으로,Desierto
항생제가,Antibióticos
선생님이랑,Maestro
제레미,Jeremy
찍혀,Sellado
moaning,Gemido
죽어야만,Debes morir
아직이야,Todavía
뷰티,belleza
들으니까,Lo escucho
파티야,Fiesta
씨야,Siya
상길,Cantar
엄숙한,solemne
외박,Durante la noche
힘차게,dinámico
마크와,Marca y
보여서요,Puedo verlo
보다니,Mirando
드레스에,Vestir
보라야,Boraya
cd,CD
공연은,El desempeño
리오,Río
베인브리지,Bainbridge
파도를,Ondas
마법은,magia
bless,bendecir
옷만,Solo ropa
장기간,A largo plazo
어땠을까,Como estuvo
패배자,Perdedor
가졌지,Lo tuve
버려서,Tirado
아저씨들은,Tío
서에,Oeste
훨,Mucho
기억하시죠,yo recuerdo
홈즈와,Holmes y
단체로,Grupo
공격합니다,Ataque
골짜기,Valle
blade,espada
바다와,Mar y
과하게,Demasiado
거절했어,Rechacé
징계,Castigo
goddamn,Maldito
뜯고,Lágrima
주신다면,Si lo das
명희,Myeonghee
우승자는,El ganador
울부짖는,Llorando
절제를,Templanza
쉽죠,Fácil
된다니까요,Porque
마그네슘,magnesio
묻었어,Lo enterré
진료소에,En la clinica
저희들은,Nosotros
응당,Seudo
라구,Lague
내려라,Bajar
빠져나가는,Exterior
만난다,Reunir
작업이야,Es un trabajo
거실에서,En la sala de estar
환각,alucinación
방과후에,Después del colegio
피난처를,Un refugio
정중히,Cortésmente
토레스랑,Torres
사이몬은,Simón
temple,Templo
돌봐주는,Cuidando
여인을,Una mujer
핍,Pepita
몇시간,cuantas horas
환경이,El entorno
악당들이,Villanos
오줌도,Orinar
보호받고,Protegido
fsociety,fsociedad
자녀,niños
anytime,Cualquier momento
신만이,Dios solo
문이요,La puerta
핑계,disculpar
착하다,tipo
요리가,Horno
먼데,Lejos
게이지,medir
베넷,Bennett
건으로,En una pistola
아니라네,No
광장에,En la plaza
티리온을,Tirion
소중함을,Preciosidad
백발,pelo blanco
동생인,Cuñado
rocks,Rocas
가지신,Rama
witch,Bruja
logic,lógica
피임약을,Píldora anticonceptiva
피클,pepinillo
famous,Famoso
건널,Cruce
작동시켜,Funcionar
년째,Año
fais,Fais
아편,opio
냈습니다,Lo tengo
오래전부터,por mucho tiempo
운도,Afortunado
놀아도,Incluso si juegas
걸어가고,Caminando
무전기,Radios
틀렸다면,Si esta mal
수십만,Cientos de miles
현관,entrada
물리학자들이,Físicos
purpose,objetivo
맞으시죠,Así es
자넷,Janet
어떻겠소,Qué tengo que hacer
있다면야,Si hay
금지합니다,Prohibir
감사하지만,Agradecido
숨어있어,Oculto
ya,ya
움직이기,Moviente
캘리에게,A Cali
무슨일인지,Qué sucedió
뭐랬지,Qué dijiste
가르쳐야,Enseñar
페퍼에게,Para pimienta
카메라로,Por cámara
후보가,Candidato
생각한다구요,pienso
인간처럼,Como humano
배치,arreglo
나에게서,De mi parte
martell,Martell
나오니,Yo sale
시야에,En el campo de visión
dunphy,dunphy
딸인,Hijas
한술,Un hombre
국장,director
시체에서,En el cadáver
똑똑하다고,Inteligente
극복할,Para superar
변명할,Disculpar
작작,Cultivo
배역,fundición
대기해,Esperando
존중하고,Respeto
술로,Alcohol
빼앗긴,Robado
드리도록,Darte
마드리드,Madrid
우주선에,En la nave espacial
단순하게,Simplemente
신들은,Los dioses
입원했어요,Fui hospitalizado
데려올게,Lo traeré
힘들었지,Fue dificil
코트를,Abrigo
고담에서,En Gotham
벌려서,Abierto
힉스입자가,Partículas de Higgs
제수씨,Sr. SUSOO
똑똑하군,Inteligente
우회전,Gire a la derecha
전부였어,Eso fue todo
전설의,Legendario
성벽,muralla
대사가,Metabolista
대사를,Embajador
apos을,APO
의뢰인이,El cliente
본부를,Sede
중단하라,Deténgase
윈터펠을,Infierno
못했구나,No lo hiciste
리키,Ricky
빔이,Haz
작위를,El título
녹음기,Grabadora
제목은,El título es
수수께끼는,Ridículo
장담컨데,lo aseguro
behalf,Beneficio
알았을까,Sabías
이익을,Lucro
themselves,Ellos mismos
쓰인,Usó
증오와,Odio y
메모,memorándum
ln,Ln
store,Tienda
알겠는가,Lo sabías
position,Posición
팔코니는,Falconi
세심한,Cuidadoso
부터요,De
리나는,Lina
환자나,Paciente o
유전적,Genético
터미네이터,Terminator
riverrun,rivrina
성장을,Crecimiento
죽여버릴꺼야,te mataré
엇,Vaya
약점은,La debilidad es
공장을,Fábrica
property,propiedad
맞는데요,Así es
궁금할,Curioso
whoever,Torpe
favor,Favor
awesome,Impresionante
여자다,Ser mujer
nock,HACER MUESCAS EN
heating,calefacción
망했네,Está arruinado
자세로,En postura
외로워서,Solitaria
iv,IV
grenn,Grenario
대인,Adulto
만들었단다,lo hice
지뢰를,Minas
넘쳐,Desbordamiento
재미있고,Gracioso
둬라,Dejalo
끝날거야,Se acabará
세탁물,ropa sucia
꿈쩍도,Agobiante
살긴,Vivió
rode,Montó
궁극적인,Último
정문으로,En la puerta principal
texts,TEXTOS
잡죠,Captura
죽였으니,Yo maté
공간은,El espacio es
거랍니다,Así es
되돌리고,atrás
나쁜놈들,Chicos malos
thrown,lanzado
코너가,Esquina
glitch,falla
herself,Sí misma
피쉬를,Pez
생포해야,Debe ser capturado
sensitive,Sensible
공격하라,Ataque
딸에,A la hija
뻔한데,Es obvio
의사지,Médico
고르면,Seleccione
staring,curioso
mostly,Principalmente
튜브,tubo
빈손으로,Vacío
해드릴까요,Te gustaría hacerlo
수고가,Trabajador
saracens,sarracenos
blockage,Bloqueo
풍기는,Devanado
symptoms,síntomas
주는지,Donación
금고가,Seguro
줄께요,Te daré
재미있네요,Es divertido
단속,Aplicación
성경,Biblia
suffer,sufrir
투자,inversión
오르거나,Subir
ㅁ,pelo
청소년,Adolescente
브록,Brock
장인어른,Suegro
예측,predicción
경비대를,Guardia
medical,Médico
bastards,bastardos
지수카,Jisuka
카이,Kai
mole,Topo
할거고,lo haré
못하나,No poder
무릎도,Rodilla
입었고,Gastado
있나보군,me parece que eres tu
먹었죠,comí
면접을,Entrevista
잡힌다,Atrapado
개인의,unos
입원,Admisión
아아아,Ahhh
앉아있어,Sesión
파렐,Farrell
유령을,Fantasma
testimony,testimonio
개에,Perro
donna,Donna
라마는,Lama es
시타를,Mierda
힉스가,Higgs
숲속에서,En el bosque
필요없을,No hay necesidad
보냈나,Lo enviaste
동물들이,Animales
라마의,Ramaico
달라니까,Porque es diferente
가라구,Karagu
지켜만,Mantener
인질을,Rehén
따분한,aburrido
했던게,Lo que hice
간호사랑,Amor de enfermería
제생각엔,pienso
해고를,Despido
전세계에,En todo el mundo
레이첼을,Rachel
몇명이나,Alguno
원숭이를,Mono
아비를,Abi
실수하는,Error
뜻하지,No significado
혹독한,riguroso
없었,No
순경,policía
됬죠,De acuerdo
말했잖나,Te dije
물고기는,Pez
글이,Escritura
틀렸다는,Equivocado
어느정도,Un poco
좁아,Angosto
tarly,alquitranado
딱한,miserable
지나치지,Agobiante
닮았네,Parece
들어가죠,Entra
금은,Oro
문제점을,Problemas
겠습니다,voy a
노인과,Viejo y
하느님께서,Dios
기리는,En honor
잘못이죠,Está incorrecto
먹니,Comido
문서,documento
중부,Central
무기야,Arma
싶으실,Yo quiero
외부의,Externo
즐겁지,Es divertido
numbers,Números
드리게,Oferta
새우털,Cabello de camarón
피하지,Evitar
저새끼,저새 끼
창조주님의,Creador
worm,GUSANO
위에선,Arriba
daario,daario
억지,Forzado
빛에,Luz
에릭을,Eric
릴리를,Lirio
간다고요,Voy
방패벽,Muro de escudos
sniffs,rayador
objection,objeción
spare,repuesto
켜져,En
부처님이,Buda
의심할,Duda
베티는,Betty
베티가,Betiga
나리를,Nari
달린은,Correr
servant,Servidor
마련해,Preparado
기력이,Energía
건다고,yo digo
발견이,Descubrimiento
여겨,Ser - estar
기절했어요,Estaba aturdido
weyland,weyland
몰랐군,Yo no lo sabía
inhibitor,Inhibidor
꽂으면,Cuando se enchufa
얘기했는데,Te dije
추론,inferencia
트레일러는,Remolque
베라를,Vera
별장을,La villa
elvatyl,Elvatilo
돌려야,Regresarlo
야외,exterior
빠졌다,Omitido
데이타가,Datos
마쇼,Masho
우편,correo
빔을,Haz
duke,duque
생각밖에,Sobresaliente
희생할,Sacrificio
따르겠습니다,seguiré
그에게서,De él
제지,restricción
판단이,Juicio
wives,Esposas
부를까,¿Se romperá?
명복을,Myeongbok
세는,Borrado
smaller,Menor
이르게,Más temprano
싫었을,No me gustó
우연도,Coincidencia
혁수,Revolucionario
펄,perla
찾아오겠지,vendré
princess,Princesa
돼라,Ser
fenton,fentón
컴,Comunicarse
안타까운,lamentable
전문가는,Experto
입었던,Gastado
무덤이,Tumba
새디가,Banca
났던,Desalentador
사촌을,Primo
involved,Involucrado
너머에,Más allá de
우크라이나,Ucrania
분야에,En el campo
낫겠죠,Debe ser mejor
금으로,Oro
토비는,Toby
왕위를,El trono
불렀는데,lo llamé
리드를,Junco
breach,Romper
올려줘,Subir
도타는,Dota es
살려낼,Ser salvado
편으로,En el lado
일하세요,Trabajar
당신에게도,Para ti
거였소,Era un gigante
bars,barras
예수는,Jesús
riding,montando
좋을것,Bueno
말해주게,Dime
위로해,Comodidad
저지르면,Si te comprometes
중심은,Centro
웨버는,Webber
열네,Abierto
자신한테,A mí mismo
알아야죠,necesito saber
가족이에요,Soy una familia
문제들을,Problemas
작년의,El año pasado
연세가,Yonsei
염소가,Cabra
사는건,Vivir
일어나라고,Levantarse
바닐라,vainilla
흥미롭네,Interesante
families,Familias
답,responder
싫대요,lo odio
작년엔,El año pasado
좆까,Mierda
떠올라,Recuerda
ends,fines
아이카와의,Aikawa
저희에겐,Para nosotros
막장,Mak
지나야,Deber
단독수술,Cirugía en solitario
teachers,Maestros
됐던,Más allá de
보는지,Viendo
비웃을,Risa
daenerys,Daenerys
있다는거야,Hay
했는지는,Si era
트라스크를,Trasco
마로니가,Maroniga
화나면,Cuando está enojado
remain,permanecer
당했고,Fui golpeado
저와는,Conmigo
끼어들고,En
yards,yardas
cheering,aplausos
기술도,Grado técnico
생긴거야,Parece que
내려와요,Baja
놓치는,Omitido
데이비스,Davis
되었습니까,¿Lo es?
인구가,Población
설명해줄게,Lo explicaré
댓가를,Interior
떠났는지,Abandonar
정을,Yengo
생생하게,Vivamente
차돌아,Margen
차례입니다,Este es el turno
계산은,El cálculo es
들어볼까요,Vamos a escuchar
알려드리고,Te informo
군의,Militar
안될것,No ser
범행,delito
주유소,gasolinera
난다는,Yaya
프로젝트에,En el proyecto
그녀에게서,De ella
앉으면,Cuando te sientas
수술인데,Cirugía
정보도,Información
사라져야,Debe desaparecer
미친놈이,Un loco
뭐하는데,Qué hacer
입었습니다,Lo usé
만큼만,Tanto como
구성,composición
꽂힌,Atascado
소송하고,Litigio
매니저가,Gerente
하는거고,Hazlo
전화했더니,llamé
했든,Si lo haces
그룹에서,En el grupo
정밀,detallado
산부인과에,Obstetricia y Ginecología
부처는,Buda
소질,diátesis
맡아야,Tengo que tomarlo
그랬대,Que
케일럽을,Kalerup
스님은,El monje
가는군,Delgada
태도를,Actitud
남들과,Con otros
일어나든,Arriba
알아봐요,Descubrir
잊혀진,Olvidado
밀려,Empujar
메이가,Mayga
정했어,Decidí
있는한,Una
워디,Verboso
반역을,Rebelión
마피아,Mafia
대릴,Darry
섹스의,Sexo
맘은,El corazón es
오자고,Vamos a venir
bunch,racimo
알아볼께,Voy a averiguar
사주고,Cómpralo
전에는요,Antes
살림을,Salim
paint,Pintar
스카이가,Cielo
부처가,Buda
소대,pelotón
크리스는,Chris
잡아낼,Capturado
주겠니,Lo darás
나왔을,Salió
사람들만,Solamente
응답이,Respuesta
아브라함,Abrahán
따지는,Asociado
매일매일,Diariamente
가려구,Quiero ir
보험을,Seguro
응괴를,Cohenio
벨소리,Tono de llamada
올려놓고,Hospedarse
진료소를,Clínica
가상,Email
사과할게요,Me disculparé
필요했다,Necesario
알아내야해,Necesito averiguarlo
운영,funcionar
얘기라도,Incluso
만나길,Reunir
가가,gagá
침실로,Dormitorio
형한테,A hyung
동등한,equivalente
빅뱅,Big Bang
맞았죠,Estuvo bien
하셔라,Hazlo
상병,Enfermedad
문화를,Cultura
apartment,Departamento
안뇽,adiós
차랑,Coche
딴데로,En otra parte
태어났다,Nacido
bedstyle,Estilo de cama
도망치면,Si huyes
어렵네요,Es difícil
annie,Annie
도망갔어요,me escapé
않든,No
심심해서,Por aburrido
돌아온다고,Que regresa
테드,Ted
부화하는,Sombreado
소재를,Material
하루에도,Incluso en un día
헬리콥터에서,En helicóptero
km,km
로자를,Rosa
꼬치꼬치,Brocheta
똥끼,Mierda
광년,De luz
사이즈는,El tamaño es
피해도,Daño
캐롤라인,carolino
plenty,mucho
중이란,Corrió
외상성,Trauma
위층,Piso superior
favorite,Favorito
헤어지자고,Romperemos
들으렴,Escuchar
사비,Gasto privado
회진에,En la residencia
연락주세요,Por favor contactar
근무하는,Laboral
손길이,Mano
돌연변이가,Mutación
시설에,En la instalación
프랑스의,Francés
밟는,Escalonado
동영상을,Video
나아졌어요,Se hizo mejor
직원들은,Empleados
커뮤니케이션,comunicación
그사람이,Esa persona
킹스랜딩에,En King's Landing
들렀어요,Me detuve
말렴,Masculino
늦었습니다,Tarde
두개를,Dos
치사하게,Apurado
수색을,Búsqueda
이미지가,Imagen
맡는,En cargo
좋아하는구나,Me gusta
낸스,Maricón
윈슨,Wissonson
족보를,Geno
지킨,Entusiasta
이쁘네,Bonita
때문이란,Porque
미란다가,Miranda
통제를,Control
남자잖아,Es un hombre
사생아,bastardo
뺏은,Robado
났다고,Era
지들,Plantillas
부끄럽지,Vergonzoso
인터넷이,Internet
lullaby,canción de cuna
기분이에요,Siento estado de ánimo
열쇠요,Llave
다행이구나,Me alegro
침입한,Invadido
필름을,Película
농어,bajo
봤겠지,Debes haberlo visto
심실세동이에요,Es un ventrículo
집으로요,Hogar
부인께선,Esposa
에리카의,Erica
라이프,vida
키스가,Beso
끊었어,colgué
상냥하고,Cuadrado
해내고,Hazlo
차징,Carga
변하게,Cambio
높은데,Alto
자식들은,Niños
likely,probable
놀래라,Sorpresa
얘기하는거,Hablando
만난지,Reunión
포지,Fragua
에리카는,Erica
중국인,Chino
어머님도,Madre
해에,En el sol
아더,Arturo
지속적으로,Continuamente
저한테서,De mi parte
충격으로,En estado de shock
가져올께요,Lo traeré
코카인,cocaína
암피아라오스,Ampias
부서졌어요,Roto
아기처럼,Como un bebe
아스가르드의,Asgardo
믿었다고,yo creí
부르자,Llamador
하고싶진,Mojado
양심을,Conciencia
있는겁니다,Está
단도직입적으로,Daga
꼬맹이가,El niño
컨트리,País
힘들었어요,Fue dificil
우리엄마가,Mi mamá
카메라와,Cámara y
주말을,Fin de semana
매사에,Masa
지날,Durante la noche
캐나다로,Canadá
한참을,Por mucho tiempo
살해했어,Delicado
당일,día
대회를,Conferencia
차릴,Apostar
나이트워치의,Vision nocturna
동기는,Motivación
사람이군요,Es una persona
중이니까요,Porque es
나갑시다,Salgamos
노아가,Noé
쪽도,Lado
봬요,Nos vemos
제롬,Jeromo
피셔씨,Pescador
예쁜아,Bonita
살아있고,Viva
웃지도,Incluso reír
결혼이라는,Matrimonio
앞길을,El camino por delante
조네,Jonne
그날을,Ese día
둘에,Dos
올리비아랑,Olivi Arang
서울을,Seúl
친구라는,Un amigo
일본에,Japón
데이트라도,Incluso una cita
shine,brillar
영역을,Área
훈장을,Medalla
많이는,Muchos
염색,tintura
저놈의,Que
최고죠,Lo mejor
제트,Z
프로지움,Profesional
타마,Tama
내의,prenda interior
겁주려는,Aterrador
먼저야,Primero
더들스는,El Dulles es
근방에,Cercano
제독님,Almirante
너머를,Más allá de
스톰,Tormenta
버크예요,Burke
하는진,Jinjin
출발하겠습니다,comenzaré
구름은,Nuboso
퇴원을,Descarga
작년에도,El año pasado
그정도로,Tanto
glasgow,Glasgow
쳐다보면,Mirándolo
크기는,El tamaño es
현지,local
재앙을,Desastre
직장은,El recto
기술에,En tecnología
알파를,Alfa
pregnant,embarazada
묵비권을,Silencio
발견됐어,Fue encontrado
가능할까요,Es posible
자본,capital
꿈속,Sueño
바닷가에서,En la playa
번이면,Quemar
세례를,Bautismo
바빴어,estaba ocupado
되는거에요,Se vuelve
힘이야,Su poder
구해줬어,Lo guardé
랩,laboratorio
마련이죠,Está preparado
얘기했잖아,Te dije
지구상에서,En el planeta
있건,O
말레키스는,Malkis
타가리엔,Tagarien
데이트할,Fecha hasta la fecha
상공에서,Sobre
떠났나요,Te fuiste
제롬의,Jeromo
방법으로든,En cierto sentido
댁들,Hogar
몹,Multitud
칼리시,Kalishi
질문도,Pregunta
bill,factura
아파트도,Departamento
머리의,Cabeza
해치워,Diente
귀엽네,lindo
살펴봐야,Míralo
있겠는데,Debe ser
잠겼어요,Está cerrada
번째야,El primer lugar
고파요,Hambriento
총기,Arma de fuego
멋있다고,Enfriar
번쯤,Sobre
소속이야,pertenezco
하피의,Arpía
쏜월드가,Espina mundial ga
들었단다,he oído
원자,átomo
아니란걸,No
않더라,No
모르시는,Desconocido
차지하고,Ocupar
재산은,La propiedad
막대,varilla
해미시,Hamishi
소변이,Orina
젖이,Seno
거즈,gasa
불평할,Quejarse
로키는,Loki
떠나세요,Abandonar
필요하다는,Necesitar
골절을,Fractura
않구만,No
수술받을,Cirugía
대단했지,Fue grandioso
중이랍니다,estoy dentro
서쪽에서,Oeste
인정해야,Debe ser admitido
한과,Departamento coreano
수십억,Miles de millones
이비인후과,Otorhinolaringología
남자애들은,Niños
격렬하게,Vigorosamente
싸움이야,Es una pelea
힘들었죠,Fue dificil
다이애나,Diana
믿지마,No cree
빰,Bomba
됬다,Fue
형들이,Hermanos
후회는,Lamentar
토미는,Tommy
저쪽이야,Es por allá
인종,la raza
키웠어,Lo levanté
떨리고,Temblor
날아갈,Volador
봐주셔서,Míralo
바보냐,Tonto
테고요,Tego
최첨단,Innovador
영화나,Película o
자랑을,Presumir
던지곤,Lanzar
남겨놓고,Dejalo
시간째,Tiempo
쉽지가,Fácil
블랙아웃,Apagón
창녀가,Prostituta
치료제를,El agente de tratamiento
보았습니다,yo lo vi
결정했다,decidió
여자지,Mujer
식사로,Por comida
은신처를,Escondite
재워,Decepcionado
법의,Legal
남들처럼,Como otros
은미,Plata
건물이,Edificio
꿰매,De coser
아담과,Adán y
이르면,Tan pronto como
torture,tortura
아니라면요,Que no
외과의는,La cirugía es
일러요,te digo
전립선,próstata
보는걸,Viendo
집도를,Carretera de la casa
했는지도,Lo hice
고백하라,Confesión
포로로,Prisionero
아저씨랑,Con tío
컬리,Ondulado
중일,Mediano -japonés
쿵푸,Kung fu
차지할,Para ocupar
만들거나,Hazlo
불평만,Solo queja
바뀌었다,Cambió
만족을,Satisfacción
윌슨의,Wilson
은하들은,Galaxias
잤다,dormido
전쟁이요,Guerra
거라면서요,Está dicho
마구아는,Magua
케일럽의,Kalero
